Hospital_ID,Hospital_Name,City,Hospital_Type,Beds,Daily_Patients,Avg_Wait_Time_Min,Contactless_Registration,Online_Appointment,Telemedicine,Digital_Health_Records,Cleanliness_Rating,Food_Service_Rating,Patient_Hospitality_Rating,CCTV_Coverage_Percentage,Security_Staff,Infection_Control_Score,Patient_Satisfaction,AI_Assisted_Services,Overall_Trend
H00392,Pune Care Hospital 392,Madurai,Specialty,1143,1402,112,YES,Yes,,Yes,3.7,,3.9,56,181,57,4.2,No,Green Hospital
H00393,Pune Care Hospital 393,Kochi,Multispeciality,,1800,108,yes,No,,Yes,3.4,,3.6,,137,91,3,Yes,AI Healthcare
H00394,Mumbai Care Hospital 394,Bengaluru,Specialty,332,1281,131,yes,No,No,No,3.4,3.7,3.8,59,33,67,3.8,No,AI Healthcare
H00395,Bengaluru Care Hospital 395,Madurai,Private,457,2194,85,Yes,,Yes,No,4.2,4.1,2.5,,80,69,4,YES,Patient-Centric Care
H00396,Madurai Care Hospital 396,Jaipur,Specialty,606,716,7,Yes,,,No,4.9,3.3,3.7,78,107,,2.8,No,
H00397,Coimbatore Care Hospital 397,Delhi,Government,1204,105,85,No,YES,No,,3.7,3.9,2.3,66,48,72,2.9,yes,
H00398,Madurai Care Hospital 398,Jaipur,Government,1364,,82,Yes,Yes,No,Yes,2.4,3.1,2.6,71,23,,2.3,YES,Green Hospital
H00399,Jaipur Care Hospital 399,Hyderabad,Specialty,205,1546,135,YES,NO,,No,2,3.3,,,169,76,3.7,Yes,
H00400,Pune Care Hospital 400,Coimbatore,Government,,1340,98,YES,No,No,Yes,4.3,3.2,4.2,96,31,98,4,No,Green Hospital
H00401,Jaipur Care Hospital 401,Kochi,Specialty,226,1394,18,No,,Yes,,2.8,3,3.5,66,63,71,4.5,YES,AI Healthcare
H00402,Bengaluru Care Hospital 402,Bengaluru,Government,1224,,70,Yes,,Yes,Yes,2.7,4.2,,84,117,69,3,YES,Green Hospital
H00403,Mumbai Care Hospital 403,Chennai,Specialty,821,1449,13,No,,No,Yes,2.9,3,4.8,33,27,100,3.3,Yes,Enhanced Security
H00404,Kochi Care Hospital 404,Mumbai,Multispeciality,1374,776,135,Yes,YES,Yes,No,2.1,4.9,4.8,73,83,97,4.7,Yes,Enhanced Security
H00405,Coimbatore Care Hospital 405,Hyderabad,Private,402,1988,108,YES,Yes,No,No,3.1,2,,50,191,,3.7,YES,Digital Patient Care
H00406,Hyderabad Care Hospital 406,Pune,Private,1210,1952,123,yes,Yes,Yes,No,3.3,4.1,2.4,91,148,66,2.5,YES,
H00407,Delhi Care Hospital 407,Delhi,Specialty,156,1545,,yes,Yes,No,Yes,4.2,4.5,4.3,90,176,63,3.2,No,Patient-Centric Care
H00408,Bengaluru Care Hospital 408,Kochi,Government,625,1770,12,,YES,No,No,2.6,3.3,3.5,,,70,3.6,,
H00409,Delhi Care Hospital 409,Kochi,Private,469,,134,Yes,Yes,No,No,2.7,2.4,2.9,70,122,87,3.2,YES,IoT Healthcare
H00410,Bengaluru Care Hospital 410,Mumbai,Specialty,,1462,74,YES,NO,,No,4.6,3.6,2.2,,150,56,4.1,Yes,Digital Patient Care
H00411,Chennai Care Hospital 411,Bengaluru,,527,1607,89,No,No,No,No,3.2,3,3.2,85,77,,,Yes,Enhanced Security
H00412,Kochi Care Hospital 412,Jaipur,Specialty,1223,747,90,No,Yes,No,No,4.9,3.4,3.2,97,72,73,3.4,No,Contactless Healthcare
H00413,Pune Care Hospital 413,Jaipur,Multispeciality,1088,1301,23,Yes,Yes,Yes,No,3.5,2,3.7,81,12,50,2.5,YES,Contactless Healthcare
H00414,Hyderabad Care Hospital 414,Jaipur,Private,155,1746,122,YES,Yes,Yes,No,3.3,,4.5,93,146,87,2.5,Yes,Contactless Healthcare
H00415,Pune Care Hospital 415,Mumbai,Private,523,1403,,Yes,YES,Yes,Yes,4.5,2.7,2.9,69,27,97,4.4,No,AI Healthcare
H00416,Mumbai Care Hospital 416,Chennai,Multispeciality,233,1431,54,yes,,No,No,4.4,2.6,2,30,,98,2.3,yes,Smart Hospital
H00417,Delhi Care Hospital 417,Bengaluru,Private,984,1840,26,YES,,No,Yes,3.1,3.8,3.6,43,198,64,2.3,YES,Digital Patient Care
H00418,Jaipur Care Hospital 418,Bengaluru,Multispeciality,1247,1640,19,YES,No,No,No,,3.1,3.6,62,90,,3.6,Yes,
H00419,Delhi Care Hospital 419,Coimbatore,Specialty,,1652,148,yes,Yes,Yes,Yes,4,3.1,2.8,55,98,50,2.6,,Smart Hospital
H00420,Mumbai Care Hospital 420,,Specialty,,691,47,YES,Yes,No,No,2.5,2.9,4.9,71,97,70,3.9,YES,Contactless Healthcare
H00421,Delhi Care Hospital 421,Pune,Multispeciality,210,436,111,YES,YES,No,Yes,4.8,,3.2,50,78,98,3.7,yes,
H00422,Kochi Care Hospital 422,Delhi,Government,,2063,86,No,Yes,No,No,3,4.3,4.6,45,,86,4.8,yes,Smart Hospital
H00423,Delhi Care Hospital 423,Madurai,Specialty,1477,1714,111,yes,YES,Yes,No,,3.7,4,,39,52,2.1,,Contactless Healthcare
H00424,Chennai Care Hospital 424,,Private,371,1861,94,No,No,No,Yes,3.5,3.8,4.9,55,115,90,4,yes,Smart Hospital
H00425,Chennai Care Hospital 425,Madurai,Government,1317,1490,93,Yes,YES,No,Yes,2.8,3.7,4.1,45,183,64,2.3,YES,Patient-Centric Care
H00426,Hyderabad Care Hospital 426,Mumbai,Government,373,578,10,yes,YES,Yes,,3.5,4.5,,85,143,89,2.4,YES,Smart Hospital
H00427,Kochi Care Hospital 427,Pune,Specialty,125,1460,13,No,YES,No,,3,4.7,4.1,36,,88,2.8,yes,IoT Healthcare
H00428,Pune Care Hospital 428,Bengaluru,Multispeciality,927,,124,Yes,NO,No,No,3.3,3.5,3.1,72,93,96,4.6,YES,Smart Hospital
H00429,Mumbai Care Hospital 429,Bengaluru,,418,1153,59,yes,NO,Yes,Yes,3.4,2.2,4.8,86,,97,4.4,YES,Digital Patient Care
H00430,Delhi Care Hospital 430,Bengaluru,Government,418,871,143,No,Yes,,No,3.5,4.4,4.3,82,98,59,4.5,YES,Enhanced Security
H00431,Pune Care Hospital 431,Kochi,Government,655,1445,96,No,No,,Yes,3.4,4.2,4.8,43,103,56,4.9,,
H00432,Coimbatore Care Hospital 432,Bengaluru,,243,1196,35,YES,YES,No,No,4.7,4.3,4.8,52,96,64,3.1,yes,IoT Healthcare
H00433,Kochi Care Hospital 433,Hyderabad,Private,885,2138,,YES,,Yes,Yes,3.6,4.4,3.7,74,111,74,3.1,,Smart Hospital
H00434,Chennai Care Hospital 434,Hyderabad,Private,1480,2050,12,Yes,YES,No,Yes,3.1,4.2,3,69,112,78,3.6,No,Smart Hospital
H00435,Delhi Care Hospital 435,Delhi,Multispeciality,793,,111,yes,YES,No,No,2.5,2.9,2.6,76,152,60,2.9,YES,Patient-Centric Care
H00436,Jaipur Care Hospital 436,Madurai,Government,1026,,104,No,No,No,Yes,2.1,3.1,4.7,51,100,79,,YES,AI Healthcare
H00437,Jaipur Care Hospital 437,Mumbai,Specialty,430,424,106,YES,No,Yes,Yes,4.6,4.5,4,73,193,,4.9,No,Patient-Centric Care
H00438,Madurai Care Hospital 438,Coimbatore,,1132,516,28,,NO,Yes,No,2.9,3.5,3.9,46,25,79,4.3,yes,Enhanced Security
H00439,Bengaluru Care Hospital 439,Delhi,Multispeciality,122,1663,72,yes,YES,Yes,No,3.6,4.5,4.5,,141,100,4.7,YES,Contactless Healthcare
H00440,Madurai Care Hospital 440,Chennai,Government,336,277,20,yes,No,No,No,2.4,2.4,,41,27,56,2.6,No,Digital Patient Care
H00441,Hyderabad Care Hospital 441,,Government,969,408,150,No,Yes,,No,4.4,3,3.2,65,184,91,4,,
H00442,Coimbatore Care Hospital 442,,Multispeciality,244,,92,Yes,YES,Yes,Yes,3.9,3.3,2.1,41,124,74,4.5,YES,IoT Healthcare
H00443,Bengaluru Care Hospital 443,,Multispeciality,862,2173,112,No,NO,No,No,4.3,2.7,2.5,73,105,51,2.4,Yes,IoT Healthcare
H00444,Hyderabad Care Hospital 444,Jaipur,Government,1237,2159,110,Yes,NO,Yes,,,2.5,4.8,72,99,89,3.3,Yes,IoT Healthcare
H00445,Jaipur Care Hospital 445,Delhi,Multispeciality,961,1396,7,YES,,Yes,Yes,2.5,3.6,2.4,65,212,84,2.8,No,Enhanced Security
H00446,Chennai Care Hospital 446,,Multispeciality,407,141,63,Yes,No,No,No,,3.9,3.6,72,82,90,2.2,yes,Contactless Healthcare
H00447,Jaipur Care Hospital 447,Madurai,Private,596,67,50,yes,No,No,No,3.9,2.7,4.8,75,,,4.1,,Patient-Centric Care
H00448,Pune Care Hospital 448,Jaipur,Private,1059,1476,93,,No,Yes,Yes,3,3.1,4.9,84,128,74,2.4,YES,Digital Patient Care
H00449,Jaipur Care Hospital 449,Chennai,,895,1679,21,Yes,Yes,Yes,No,2.9,2.5,2.9,,96,92,2.2,,Contactless Healthcare
H00450,Pune Care Hospital 450,Delhi,Government,197,2157,125,No,YES,No,Yes,4.7,3.6,3,70,174,84,3.8,yes,
H00451,Delhi Care Hospital 451,Madurai,Multispeciality,296,1410,14,Yes,No,Yes,,4.2,2.8,2,94,146,51,4.9,yes,Patient-Centric Care
H00452,Mumbai Care Hospital 452,Kochi,Private,1277,1469,92,yes,YES,Yes,No,3.6,2,4.6,72,123,88,2.7,YES,AI Healthcare
H00453,Coimbatore Care Hospital 453,Coimbatore,Private,215,1308,,yes,NO,,No,3,4.8,4.7,35,158,66,3.5,No,Patient-Centric Care
H00454,Bengaluru Care Hospital 454,Delhi,Private,978,1954,,YES,NO,No,No,4.1,4.2,3.6,83,26,62,2.4,,
H00455,Hyderabad Care Hospital 455,Coimbatore,Private,1461,1216,41,yes,NO,No,No,5,,3.2,94,9,100,2.3,No,AI Healthcare
H00456,Pune Care Hospital 456,Delhi,Multispeciality,203,2097,124,Yes,No,Yes,Yes,2.2,2.4,3.8,,169,97,4.6,Yes,Green Hospital
H00457,Kochi Care Hospital 457,Chennai,Private,596,1455,97,,NO,Yes,Yes,2.6,4.6,3,37,31,74,4.1,yes,Contactless Healthcare
H00458,Bengaluru Care Hospital 458,,Government,481,227,14,No,NO,,No,2.1,3.9,4.9,,215,51,2.2,No,Digital Patient Care
H00459,Pune Care Hospital 459,Bengaluru,Specialty,876,604,124,YES,,No,,3.5,2.8,2.3,31,215,75,3.2,Yes,Patient-Centric Care
H00460,Hyderabad Care Hospital 460,Mumbai,Multispeciality,362,320,,yes,YES,No,No,4,4.4,3.5,61,51,84,3.9,Yes,Digital Patient Care
H00461,Pune Care Hospital 461,Mumbai,Government,1183,,9,,YES,No,Yes,4.4,3.2,3.4,65,34,82,3.3,Yes,IoT Healthcare
H00462,Kochi Care Hospital 462,,Government,506,601,,,No,Yes,Yes,2.8,2.9,4.8,44,214,75,4.5,YES,AI Healthcare
H00463,Madurai Care Hospital 463,Chennai,Private,1333,209,125,No,NO,Yes,Yes,3,4.9,3.2,82,194,83,3.4,YES,AI Healthcare
H00464,Coimbatore Care Hospital 464,Bengaluru,Government,271,1432,101,YES,Yes,No,Yes,3.6,4.4,2.9,67,169,55,4.6,YES,Green Hospital
H00465,Delhi Care Hospital 465,Delhi,,1049,,137,YES,YES,Yes,No,3.1,3.8,,53,208,92,4.2,No,Green Hospital
H00466,Madurai Care Hospital 466,Madurai,Government,882,1647,148,No,No,Yes,No,4.3,4.9,4.7,30,202,86,2.2,yes,Green Hospital
H00467,Jaipur Care Hospital 467,,,692,,94,yes,No,No,No,2.5,2.8,4.5,58,11,82,,YES,Enhanced Security
H00468,Delhi Care Hospital 468,Mumbai,Specialty,,1622,22,yes,NO,No,No,4.8,,2.9,92,172,80,4.8,No,
H00469,Madurai Care Hospital 469,Chennai,Multispeciality,1498,794,67,No,YES,No,No,2.3,4.1,4,64,34,61,,Yes,Contactless Healthcare
H00470,Chennai Care Hospital 470,Madurai,Multispeciality,795,261,88,,,Yes,No,3.3,2.4,2.8,44,67,84,4.5,No,IoT Healthcare
H00471,Kochi Care Hospital 471,Jaipur,Specialty,1441,127,139,No,NO,No,No,3.1,4.8,,43,97,66,3.8,YES,Patient-Centric Care
H00472,Coimbatore Care Hospital 472,Chennai,Specialty,520,2042,75,No,No,No,No,,2.9,3.4,,79,63,3.5,No,Patient-Centric Care
H00473,Pune Care Hospital 473,Coimbatore,,,,56,Yes,,No,Yes,4.9,2.3,4.7,60,181,92,4.3,Yes,Digital Patient Care
H00474,Madurai Care Hospital 474,Delhi,Multispeciality,547,2044,129,yes,,No,No,2.1,,3.4,86,34,51,3,No,Green Hospital
H00475,Bengaluru Care Hospital 475,Kochi,Private,1492,,138,No,,No,,2.9,4.3,3.3,75,53,91,3.5,YES,Patient-Centric Care
H00476,Hyderabad Care Hospital 476,Kochi,Multispeciality,1294,1926,36,yes,Yes,No,No,4.9,3.6,2.5,35,31,71,4.6,yes,IoT Healthcare
H00477,Coimbatore Care Hospital 477,Mumbai,Government,1427,1164,132,yes,NO,Yes,Yes,4.9,,,68,,56,3.9,No,AI Healthcare
H00478,Hyderabad Care Hospital 478,,Government,288,833,116,YES,,No,No,2.2,3.7,4.3,40,192,90,,YES,Enhanced Security
H00479,Madurai Care Hospital 479,Mumbai,Specialty,1486,1814,83,YES,NO,Yes,No,3.9,4.1,2.5,79,200,92,4.7,Yes,Digital Patient Care
H00480,Hyderabad Care Hospital 480,Bengaluru,Multispeciality,1293,,78,YES,No,No,,4.3,4.2,2.1,50,66,74,,YES,Patient-Centric Care
H00481,Pune Care Hospital 481,Chennai,Multispeciality,1375,129,74,No,NO,No,Yes,2.8,3.6,4.8,68,218,84,4.7,No,Patient-Centric Care
H00482,Mumbai Care Hospital 482,Pune,Government,194,833,48,No,NO,Yes,Yes,4.8,4.3,4.6,40,142,89,2.4,,Green Hospital
H00483,Kochi Care Hospital 483,Coimbatore,,1442,909,20,yes,Yes,Yes,Yes,,2.4,2.1,90,34,54,4.1,,Digital Patient Care
H00484,Bengaluru Care Hospital 484,Delhi,Private,889,450,104,No,Yes,Yes,,3,2.8,2.1,87,15,55,4.4,YES,Patient-Centric Care
H00485,Delhi Care Hospital 485,Pune,Private,654,,21,,No,Yes,Yes,,3.9,4.1,96,176,63,2.3,Yes,Patient-Centric Care
H00486,Mumbai Care Hospital 486,Madurai,Multispeciality,627,,7,,Yes,,No,4.7,3.6,2.6,35,68,71,3,Yes,AI Healthcare
H00487,Pune Care Hospital 487,Delhi,Private,114,2148,94,Yes,YES,Yes,No,3.2,4.3,2.6,44,93,63,2.1,,Smart Hospital
H00488,Jaipur Care Hospital 488,Hyderabad,Government,1334,1799,57,Yes,NO,Yes,No,2.7,2.2,,67,153,63,2.6,Yes,Enhanced Security
H00489,Hyderabad Care Hospital 489,Kochi,Specialty,1428,791,47,YES,NO,No,No,4.2,3.9,3.2,97,126,66,,yes,Smart Hospital
H00490,Delhi Care Hospital 490,Pune,Private,1492,,131,No,YES,Yes,No,4.3,4.2,4.9,57,141,89,2.1,Yes,AI Healthcare
H00491,Kochi Care Hospital 491,Pune,Government,1149,1007,149,YES,YES,No,Yes,4,3,4.4,35,,66,2.5,YES,Smart Hospital
H00492,Jaipur Care Hospital 492,Bengaluru,Private,1389,1852,,yes,No,No,Yes,4.9,3.6,4.1,80,207,50,4.3,No,Smart Hospital
H00493,Coimbatore Care Hospital 493,Bengaluru,Multispeciality,740,678,35,YES,Yes,No,Yes,4.4,,2.4,80,100,85,4.7,Yes,IoT Healthcare
H00494,Madurai Care Hospital 494,,Multispeciality,1132,1448,13,No,,No,No,3.5,3.9,2.4,74,87,84,3.5,yes,Patient-Centric Care
H00495,Bengaluru Care Hospital 495,Bengaluru,Government,880,1610,119,yes,No,Yes,No,4.3,2.4,3.5,44,138,96,3.6,No,Patient-Centric Care
H00496,Kochi Care Hospital 496,,Government,1287,,10,yes,NO,Yes,Yes,3.7,4.9,2.9,75,138,57,4.2,,Enhanced Security
H00497,Chennai Care Hospital 497,Hyderabad,Private,1105,1414,92,Yes,No,No,Yes,2.4,2.1,2.8,,,69,4.7,yes,Smart Hospital
H00498,Coimbatore Care Hospital 498,Kochi,Private,1295,181,74,yes,NO,No,No,,3.6,2,73,,70,,YES,Enhanced Security
H00499,Coimbatore Care Hospital 499,Chennai,Multispeciality,228,736,68,yes,No,No,No,3.1,4.5,3.8,90,83,75,2.3,,
H00500,Coimbatore Care Hospital 500,Delhi,Multispeciality,589,1312,119,Yes,YES,No,No,,,3.9,62,,75,2.9,,Contactless Healthcare
H00501,Jaipur Care Hospital 501,Chennai,Multispeciality,425,2126,85,No,Yes,Yes,Yes,3.9,2.9,3.2,58,59,69,2.2,YES,IoT Healthcare
H00502,Coimbatore Care Hospital 502,Jaipur,Specialty,91,599,10,YES,YES,No,Yes,2,3.2,3.1,43,,85,4.1,yes,Contactless Healthcare
H00503,Kochi Care Hospital 503,Mumbai,Private,762,,,No,No,Yes,Yes,3.4,4,2.2,36,66,96,3.3,No,Enhanced Security
H00504,Mumbai Care Hospital 504,Pune,,919,755,108,Yes,NO,Yes,Yes,2.5,3.8,,39,47,98,3.2,,Patient-Centric Care
H00505,Jaipur Care Hospital 505,Madurai,Government,794,629,87,No,YES,No,No,4.4,4.5,4.1,90,,52,4,yes,AI Healthcare
H00506,Mumbai Care Hospital 506,Bengaluru,Private,1313,,,Yes,NO,No,Yes,3.7,3.8,3.5,34,11,70,2.3,No,
H00507,Mumbai Care Hospital 507,Delhi,Private,1089,1409,136,yes,No,No,No,4.7,4.5,4.5,49,165,71,3.3,yes,Patient-Centric Care
H00508,Kochi Care Hospital 508,Pune,Multispeciality,1161,319,,,NO,Yes,Yes,3.4,4.5,2.4,31,137,63,3.3,yes,Patient-Centric Care
H00509,Bengaluru Care Hospital 509,Delhi,Private,248,294,,No,YES,Yes,No,2.8,2.7,4.9,97,34,50,3.1,No,IoT Healthcare
H00510,Kochi Care Hospital 510,Madurai,,374,1697,32,,Yes,,No,3.9,2.8,3.2,94,,85,3.7,yes,
H00511,Coimbatore Care Hospital 511,Coimbatore,Specialty,411,78,,No,No,Yes,Yes,3.8,3,2.4,37,107,80,3.5,,
H00512,Madurai Care Hospital 512,Bengaluru,Specialty,575,,102,,Yes,Yes,No,2.2,2.3,2.5,42,40,76,3.2,No,
H00513,Chennai Care Hospital 513,Hyderabad,Multispeciality,1070,,,yes,,Yes,,,3,3.3,89,51,66,4.2,YES,Smart Hospital
H00514,Kochi Care Hospital 514,Madurai,Government,737,,48,yes,No,Yes,No,5,3,2.1,89,36,52,3.3,No,Smart Hospital
H00515,Jaipur Care Hospital 515,Mumbai,Private,1175,333,119,yes,No,Yes,No,3,3.4,3.6,89,192,79,2.3,No,IoT Healthcare
H00516,Chennai Care Hospital 516,Madurai,Specialty,1336,,29,Yes,No,Yes,No,2.1,4,2.2,30,90,56,,YES,IoT Healthcare
H00517,Pune Care Hospital 517,Jaipur,Government,593,1212,15,No,,No,No,2.1,4.5,2.1,99,177,93,4.4,,Digital Patient Care
H00518,Hyderabad Care Hospital 518,Kochi,Government,700,2151,125,yes,,Yes,Yes,4.6,3.7,2.8,67,163,,2.8,Yes,Enhanced Security
H00519,Madurai Care Hospital 519,Bengaluru,Specialty,879,1712,23,Yes,No,Yes,No,3.1,5,4.4,69,34,65,2.4,yes,Patient-Centric Care
H00520,Bengaluru Care Hospital 520,Jaipur,Specialty,226,709,24,YES,No,Yes,No,2.9,2.2,4.2,96,80,84,4.9,yes,Smart Hospital
H00521,Bengaluru Care Hospital 521,Mumbai,Private,737,,,YES,YES,Yes,No,2.2,4.7,3.2,45,123,52,2.5,Yes,Green Hospital
H00522,Mumbai Care Hospital 522,Bengaluru,,1102,299,103,,No,No,Yes,,3,3.7,57,45,98,,Yes,Contactless Healthcare
H00523,Jaipur Care Hospital 523,Pune,Specialty,311,734,108,No,YES,Yes,Yes,2.9,4.5,3.9,74,83,75,3.9,Yes,IoT Healthcare
H00524,Hyderabad Care Hospital 524,Kochi,Specialty,511,79,20,,Yes,Yes,Yes,4.8,,,45,162,57,3.8,yes,Green Hospital
H00525,Pune Care Hospital 525,,Multispeciality,583,502,106,Yes,,Yes,Yes,4.6,4.9,,67,204,66,4.3,,Digital Patient Care
H00526,Kochi Care Hospital 526,Chennai,Government,303,1184,103,YES,YES,Yes,No,2.4,4.4,4.8,31,217,96,2.3,Yes,Patient-Centric Care
H00527,Mumbai Care Hospital 527,Hyderabad,,895,2144,109,yes,YES,Yes,Yes,4.5,2.8,4.8,75,7,96,3.2,Yes,Contactless Healthcare
H00528,Coimbatore Care Hospital 528,Mumbai,Specialty,,1736,79,Yes,Yes,Yes,No,,3.7,3.4,62,48,70,2.7,yes,Digital Patient Care
H00529,Hyderabad Care Hospital 529,Chennai,Government,1026,178,9,YES,YES,,Yes,3.3,4.3,3.6,81,199,96,,yes,Enhanced Security
H00530,Madurai Care Hospital 530,Jaipur,Private,311,688,138,,,Yes,Yes,,3.4,4.8,,30,79,4.1,No,Green Hospital
H00531,Pune Care Hospital 531,Hyderabad,Multispeciality,986,692,23,YES,No,Yes,No,3.9,,2.5,66,99,51,3.1,,Digital Patient Care
H00532,Chennai Care Hospital 532,Hyderabad,Private,1368,453,52,YES,No,No,Yes,2.7,4,2.2,,38,75,2.4,yes,Green Hospital
H00533,Jaipur Care Hospital 533,Hyderabad,Private,,916,130,yes,,No,No,3.5,3.1,,,,91,4.2,YES,IoT Healthcare
H00534,Hyderabad Care Hospital 534,Jaipur,Specialty,524,611,121,YES,YES,Yes,No,3.6,3.2,3.8,,35,73,2.8,yes,
H00535,Coimbatore Care Hospital 535,Hyderabad,Government,1276,349,117,yes,Yes,,Yes,3.9,2.4,3.3,39,190,59,2.3,YES,Digital Patient Care
H00536,Coimbatore Care Hospital 536,Madurai,Multispeciality,313,2195,103,,YES,No,Yes,2.6,3.5,3,32,160,82,4.4,No,AI Healthcare
H00537,Madurai Care Hospital 537,Coimbatore,Multispeciality,1128,115,139,yes,YES,Yes,Yes,3.2,4,3.7,81,133,74,,yes,Contactless Healthcare
H00538,Delhi Care Hospital 538,Kochi,Government,883,836,,yes,NO,,No,4.5,2.9,4.1,81,162,67,4.6,yes,
H00539,Madurai Care Hospital 539,Pune,,452,2112,85,YES,NO,Yes,Yes,3.1,4.4,4.3,88,46,74,2,Yes,
H00540,Hyderabad Care Hospital 540,Bengaluru,Government,921,769,38,yes,No,No,Yes,,4.5,2.2,57,188,76,2.6,,IoT Healthcare
H00541,Mumbai Care Hospital 541,Coimbatore,,761,1696,94,No,Yes,,No,4.6,5,3.1,,64,60,2.5,Yes,Enhanced Security
H00542,Madurai Care Hospital 542,Bengaluru,Government,1449,1372,33,YES,YES,No,,3.7,4.6,4.4,51,,53,2.2,yes,Digital Patient Care
H00543,Delhi Care Hospital 543,Hyderabad,Specialty,,943,127,No,,No,Yes,2,4.4,2.3,,10,,2.5,Yes,IoT Healthcare
H00544,Pune Care Hospital 544,Madurai,Multispeciality,1302,2054,103,yes,Yes,No,No,3.2,4.9,2.5,92,129,74,3.7,Yes,
H00545,Hyderabad Care Hospital 545,Jaipur,Government,308,994,57,No,Yes,,No,3.2,2.8,,47,,90,2.7,yes,Green Hospital
H00546,Pune Care Hospital 546,Coimbatore,Government,397,,42,yes,YES,,,3.4,2.6,2.1,31,207,72,3.6,YES,Digital Patient Care
H00547,Madurai Care Hospital 547,Mumbai,Multispeciality,1271,817,90,Yes,No,No,Yes,3.5,4.2,4.1,44,157,60,4.7,,Digital Patient Care
H00548,Mumbai Care Hospital 548,,Private,607,631,5,No,No,No,Yes,4.1,2.9,4.5,63,175,72,3.1,Yes,Contactless Healthcare
H00549,Bengaluru Care Hospital 549,Chennai,Multispeciality,614,209,111,YES,No,Yes,,4.5,3.8,3.9,35,148,51,,No,IoT Healthcare
H00550,Jaipur Care Hospital 550,Chennai,Government,922,1781,122,yes,YES,Yes,No,3.4,2.2,3.1,,174,87,3.8,yes,Green Hospital
H00551,Bengaluru Care Hospital 551,Jaipur,Multispeciality,300,,148,YES,YES,No,Yes,3.7,3.1,4.9,93,36,87,3.5,YES,AI Healthcare
H00552,Jaipur Care Hospital 552,Bengaluru,Government,576,783,12,No,No,Yes,Yes,2.5,2.4,2.9,44,46,93,4.2,No,Smart Hospital
H00553,Coimbatore Care Hospital 553,Bengaluru,Government,390,1130,12,Yes,NO,,Yes,4.9,3.7,4.1,43,113,78,2.5,yes,Digital Patient Care
H00554,Mumbai Care Hospital 554,Kochi,Specialty,1184,,29,YES,Yes,No,No,2,3.2,2.6,35,120,100,3.4,YES,Green Hospital
H00555,Jaipur Care Hospital 555,Hyderabad,Private,,1814,76,yes,YES,,No,3.5,2.4,2.8,91,102,65,2.8,YES,Green Hospital
H00556,Bengaluru Care Hospital 556,,Specialty,1021,1903,79,yes,YES,Yes,Yes,3,4.2,2.5,71,138,77,4.1,Yes,
H00557,Kochi Care Hospital 557,Kochi,Multispeciality,921,192,94,YES,,No,Yes,,,4.1,81,85,82,,yes,Contactless Healthcare
H00558,Hyderabad Care Hospital 558,Kochi,Multispeciality,681,1562,63,No,YES,No,No,2.4,2.1,4.9,98,108,61,4.8,No,AI Healthcare
H00559,Hyderabad Care Hospital 559,Madurai,Government,1156,875,,YES,No,Yes,Yes,3.6,3.6,2.8,81,173,68,4.3,yes,Smart Hospital
H00560,Bengaluru Care Hospital 560,Pune,Specialty,1498,1149,,Yes,NO,No,Yes,,2.4,2.2,80,89,87,4.5,YES,Contactless Healthcare
H00561,Kochi Care Hospital 561,Coimbatore,Multispeciality,1168,837,118,No,NO,No,Yes,4.9,2.5,2.5,39,210,78,4.2,Yes,AI Healthcare
H00562,Delhi Care Hospital 562,Chennai,Multispeciality,626,2142,118,,NO,No,Yes,2.7,3.7,3.8,93,128,68,4.7,No,IoT Healthcare
H00563,Hyderabad Care Hospital 563,Bengaluru,Multispeciality,1304,279,62,Yes,Yes,No,Yes,4.5,2.3,2.1,,,66,4.2,YES,Patient-Centric Care
H00564,Kochi Care Hospital 564,Bengaluru,,1236,975,140,Yes,,Yes,No,2.7,,,72,114,68,5,YES,IoT Healthcare
H00565,Hyderabad Care Hospital 565,Mumbai,Government,,1331,31,yes,YES,Yes,Yes,4.1,2.9,3.7,45,97,68,4.4,Yes,IoT Healthcare
H00566,Bengaluru Care Hospital 566,Delhi,Specialty,1211,333,52,,YES,,,2.8,4.3,,53,55,58,,yes,Patient-Centric Care
H00567,Pune Care Hospital 567,Coimbatore,Specialty,1016,1769,146,No,YES,No,No,3,,4,40,74,100,3.8,Yes,Green Hospital
H00568,Hyderabad Care Hospital 568,Mumbai,Government,474,,,Yes,No,No,No,3.8,3.8,,83,84,,2.9,yes,Green Hospital
H00569,Pune Care Hospital 569,Bengaluru,Specialty,1342,593,105,No,,Yes,Yes,4,4,3.6,94,215,,3.9,Yes,Digital Patient Care
H00570,Kochi Care Hospital 570,Madurai,Government,391,839,59,YES,Yes,Yes,,2.2,3.2,2.1,50,36,89,4.9,,Digital Patient Care
H00571,Coimbatore Care Hospital 571,Coimbatore,Specialty,1348,1623,140,,Yes,Yes,,4,2.2,4.8,59,163,58,3.7,Yes,Enhanced Security
H00572,Chennai Care Hospital 572,Madurai,Specialty,496,698,13,YES,NO,,No,4.8,2.6,4.1,48,135,74,2.8,Yes,Green Hospital
H00573,Pune Care Hospital 573,,Multispeciality,1016,311,31,YES,YES,No,Yes,4.3,4.9,3.2,,69,73,3.5,yes,Enhanced Security
H00574,Bengaluru Care Hospital 574,Hyderabad,Specialty,322,1914,128,yes,No,Yes,,2.4,2.3,2.2,80,203,54,3.4,No,IoT Healthcare
